lambda,total_hydrogen_kg,total_energy_kwh,total_ramp_kw,max_ramp_kw,mean_power_kw,iterations
0.0,26.891397989615868,1378.9081461444566,447.5358476607064,21.79913504683482,57.45450608935236,0
0.002,26.891397989615868,1378.9081461444566,447.5358476607064,21.79913504683482,57.45450608935236,0
0.005,25.979854175533347,1332.1669841085022,196.04804586344704,19.50929207572956,55.50695767118759,65
0.01,25.808353640030084,1323.37296434185,174.77191494308263,19.50929207572956,55.14054018091042,75
0.02,25.60350454692407,1312.8689331522758,160.0,19.50929207572956,54.70287221467816,84
0.05,25.60350454692407,1312.8689331522758,160.0,19.50929207572956,54.70287221467816,107
