strategy,total_hydrogen_kg,total_energy_kwh,total_ramp_kw,max_ramp_kw,mean_power_kw,total_cost_gbp,cost_per_kg_h2_gbp
Naive baseline,26.906462797355445,1379.6806231320875,453.7156635617528,23.50911584608042,57.48669263050365,343.9309792425821,12.782467239669499
Ramp-limited baseline,26.891397989615868,1378.9081461444566,447.5358476607064,21.79913504683482,57.45450608935236,343.7949394429697,12.78456923569858
Smoothness optimised,25.979854175533347,1332.1669841085022,196.04804586344704,19.50929207572956,55.50695767118759,333.908752612903,12.852603034522156
Cost-aware optimised,15.227954474214757,780.8426501931966,309.01843666934525,80.0,32.53511042471653,132.3138155987029,8.688876488483578
